"","ID","structural.zero..Healthy.","structural.zero..Infected."
"a418705a2b62c68553ceec65922142a4","a418705a2b62c68553ceec65922142a4",1,0
"77d225e6605a71a9a33a9aeb33bdb890","77d225e6605a71a9a33a9aeb33bdb890",0,0
"2ea15125b3c28f70f4e9b2011fb1b32e","2ea15125b3c28f70f4e9b2011fb1b32e",0,0
"ca8c1cc094272e70ff21f563a2af81c3","ca8c1cc094272e70ff21f563a2af81c3",0,0
"643e1fe5e4374e56b15854c0ab8bd517","643e1fe5e4374e56b15854c0ab8bd517",0,0
"d40cb52e5d7086fee99ae0907fd334f9","d40cb52e5d7086fee99ae0907fd334f9",0,0
"22358af799b12718b2413db582b1a6af","22358af799b12718b2413db582b1a6af",1,0
"99d56121b201885e2327e1aaefee27e0","99d56121b201885e2327e1aaefee27e0",0,1
"bb33b229f3d1ca9a24f2615fab635d38","bb33b229f3d1ca9a24f2615fab635d38",0,1
"76dc3809d214159c017b2f987364f7e0","76dc3809d214159c017b2f987364f7e0",0,0
"4be810915c915c3f6f34bb4fedab9ad0","4be810915c915c3f6f34bb4fedab9ad0",0,0
"760b5cda1cd383fa43af2dd6f6b06672","760b5cda1cd383fa43af2dd6f6b06672",1,0
"b663b0cd551ba980221251a789b6e206","b663b0cd551ba980221251a789b6e206",1,0
"96e8d503a1148ba899683ec5ab9b05d9","96e8d503a1148ba899683ec5ab9b05d9",0,1
"a158cb84cd379842d99cf6726247efcd","a158cb84cd379842d99cf6726247efcd",0,1
"8888c9b2d3933081f63651b9bfdbe480","8888c9b2d3933081f63651b9bfdbe480",0,0
"bdf8ede33b2c7001840621a6f72229dd","bdf8ede33b2c7001840621a6f72229dd",0,0
"e74ee435c566d594cc9526383adf5792","e74ee435c566d594cc9526383adf5792",0,1
"f7b11f46a4c69e77e82476e16e9df760","f7b11f46a4c69e77e82476e16e9df760",0,0
"e3eb7f52eef0ad7aec4db88af12eb3cd","e3eb7f52eef0ad7aec4db88af12eb3cd",0,0
"17211eba768f47a1041935f3ee102e20","17211eba768f47a1041935f3ee102e20",0,0
"9bfd7d6705ff77f170d74bd7d21e15c7","9bfd7d6705ff77f170d74bd7d21e15c7",0,1
"4673065a2d04c05374a89d2cfdcf68c2","4673065a2d04c05374a89d2cfdcf68c2",0,0
"872b2757f7ef15b1ef26b3f9936bcf31","872b2757f7ef15b1ef26b3f9936bcf31",0,0
"78e3be9fa222d3a314799a1a883f6b66","78e3be9fa222d3a314799a1a883f6b66",0,0
"8886b2b13e2ddffa6f24c3ba02bde095","8886b2b13e2ddffa6f24c3ba02bde095",0,0
"8d3e983e728259a88863f948e5dbe94b","8d3e983e728259a88863f948e5dbe94b",0,0
"b53ede99325c8616840fa8e938464d7e","b53ede99325c8616840fa8e938464d7e",0,0
"116156fee4dfb6a544121c9b98a23c74","116156fee4dfb6a544121c9b98a23c74",0,0
"abb48f98cc76cbfd884b85cb99cf2af1","abb48f98cc76cbfd884b85cb99cf2af1",0,0
